[1/11/23, 3:41:34 p. m.] Gen Filtrada: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[1/11/23, 3:41:34 p. m.] Venegas: ‎Venegas creó este grupo.
‎[23/12/23, 11:40:35 a. m.] Venegas: ‎sticker omitido
[23/12/23, 11:21:23 p. m.] Corella: Hey gente
Espero que tengan unas felices fiestas y lo pasen ak7!
[24/12/23, 12:23:58 a. m.] Venegas: yo ys edtoy borrochao
[24/12/23, 12:24:10 a. m.] Venegas: peto felix fuesta a todoa
[24/12/23, 12:24:16 a. m.] Venegas: lis tkm
[24/12/23, 12:24:30 a. m.] Venegas: ✝️❣️
[24/12/23, 10:11:55 p. m.] Venegas: ¡Feliz Navidad! Ustedes son mi grupo preferido!! 🎉🎉
[26/12/23, 1:16:30 p. m.] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
‎[2/1/24, 9:04:47 a. m.] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:47 a. m.] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:47 a. m.] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:48 a. m.] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:48 a. m.] Venegas: ‎imagen omitida
[2/1/24, 9:14:24 a. m.] Gerard: Alv hoy es martes, no lunes 😅🤣
[2/1/24, 9:23:12 a. m.] Venegas: JAJAJAJAJAJA
[2/1/24, 9:23:25 a. m.] Venegas: VENGAAAA
[2/1/24, 9:23:30 a. m.] Gerard: Iniciaron a las 9 ?
[2/1/24, 9:23:36 a. m.] Dixon Montero: No se perdió de nada
[2/1/24, 9:23:39 a. m.] Venegas: No
[2/1/24, 9:23:40 a. m.] Dixon Montero: Esa vieja no ha llegado
[2/1/24, 9:23:41 a. m.] Venegas: venga
[2/1/24, 9:23:50 a. m.] Venegas: Seguro la mae vino a las 10
[2/1/24, 9:24:01 a. m.] Dixon Montero: Y no creo que llegue
[2/1/24, 9:24:10 a. m.] Venegas: Juanga
[2/1/24, 9:24:14 a. m.] Venegas: le está escribiendo
[2/1/24, 9:24:22 a. m.] Venegas: dice que seguro se le fue y pensó que era a las 10
[2/1/24, 9:28:18 a. m.] Venegas: Juanga la está llamando
‎[2/1/24, 9:28:22 a. m.] Venegas: ‎sticker omitido
[2/1/24, 9:30:09 a. m.] Venegas: *LES DIJE*
[2/1/24, 9:30:15 a. m.] Venegas: LA MAE PENSÓ QUE A LAS 10
[2/1/24, 9:30:18 a. m.] Venegas: 😂😂😂😂😂😂
[2/1/24, 9:30:24 a. m.] Venegas: Comenzamos a las 10
[2/1/24, 9:30:29 a. m.] Venegas: 😂😂😂😂😂
[2/1/24, 9:30:41 a. m.] Venegas: JAJAJAJAJAJAJAJAJA
[2/1/24, 9:30:43 a. m.] Venegas: Ahí va juanga
‎[2/1/24, 2:01:48 p. m.] Venegas: toaz.info-ross-primer-curso-de-probabilidadpdf-pr_e90deeb712e911deb9b2f7b362ed30e4.pdf • ‎545 páginas ‎documento omitido
[2/1/24, 2:01:59 p. m.] Venegas: Ross, Primer Curso de Probabilidad
[2/1/24, 2:02:08 p. m.] Venegas: Solucionario del Pitman
[2/1/24, 2:02:12 p. m.] Venegas: Pitman
[2/1/24, 2:02:17 p. m.] Corella: Qué grande Venegas
[2/1/24, 2:02:22 p. m.] Venegas: De nada putas
‎[2/1/24, 2:02:24 p. m.] Venegas: ‎sticker omitido
[2/1/24, 2:02:56 p. m.] Corella: Esos fueron los que la profe menciono hoy? Además del otro que ya había enviado
[2/1/24, 2:03:11 p. m.] Venegas: Sí
[2/1/24, 2:03:14 p. m.] Corella: Nice
‎[2/1/24, 2:03:17 p. m.] Corella: ‎sticker omitido
[2/1/24, 2:03:21 p. m.] Venegas: Esos dos, son los complementarios que dice la profe
[2/1/24, 2:03:24 p. m.] Venegas: https://youtube.com/playlist?list=PLOy2IullCo2wWLcEAJrJkA0RNmZAC21Ol&si=CDcVYrhxs1L5FgF0
[2/1/24, 2:03:35 p. m.] Venegas: Lista de Reproducción de Cambro God
[2/1/24, 2:03:43 p. m.] Venegas: https://youtube.com/playlist?list=PLOy2IullCo2zYVzHB8PoE68KT9W6FRerc&si=prOQSVW9w3uaKa-6
[2/1/24, 2:03:51 p. m.] Venegas: Otra lista de repro de Cambro God
‎[2/1/24, 2:05:58 p. m.] Venegas: Apuntes2022.pdf • ‎122 páginas ‎documento omitido
[2/1/24, 2:06:06 p. m.] Venegas: Apuntes de Cambro
‎[2/1/24, 2:08:29 p. m.] Venegas: Probabilidad Cambro God.pdf • ‎152 páginas ‎documento omitido
[2/1/24, 2:08:44 p. m.] Venegas: Este es otro curso, tiene un toque de más bases de sumas
[2/1/24, 2:08:50 p. m.] Venegas: sumatorias
‎[2/1/24, 2:10:49 p. m.] Venegas: Clase 9.pdf • ‎112 páginas ‎documento omitido
‎[2/1/24, 2:10:50 p. m.] Venegas: Clase 12.pdf • ‎116 páginas ‎documento omitido
‎[2/1/24, 2:10:50 p. m.] Venegas: Clase 13.pdf • ‎93 páginas ‎documento omitido
‎[2/1/24, 2:10:50 p. m.] Venegas: Clase 11.pdf • ‎148 páginas ‎documento omitido
‎[2/1/24, 2:10:50 p. m.] Venegas: Clase 10.pdf • ‎73 páginas ‎documento omitido
‎[2/1/24, 2:10:51 p. m.] Venegas: Clase 8.pdf • ‎83 páginas ‎documento omitido
‎[2/1/24, 2:10:51 p. m.] Venegas: Clase 2.pdf • ‎83 páginas ‎documento omitido
‎[2/1/24, 2:10:51 p. m.] Venegas: Clase 4.pdf • ‎83 páginas ‎documento omitido
‎[2/1/24, 2:10:51 p. m.] Venegas: Clase 3.pdf • ‎171 páginas ‎documento omitido
‎[2/1/24, 2:10:52 p. m.] Venegas: Clase 7.pdf • ‎138 páginas ‎documento omitido
‎[2/1/24, 2:10:52 p. m.] Venegas: Clase 6.pdf • ‎119 páginas ‎documento omitido
‎[2/1/24, 2:10:52 p. m.] Venegas: Clase 1.pdf • ‎46 páginas ‎documento omitido
‎[2/1/24, 2:10:52 p. m.] Venegas: Clase 5.pdf • ‎65 páginas ‎documento omitido
[2/1/24, 2:11:11 p. m.] Venegas: Esas PPT, son las Diapositivas de Viquez 
Por si quieren echarle una ojeada también
[2/1/24, 2:11:38 p. m.] Venegas: https://youtube.com/playlist?list=PLYeULBCgR9DXFIZY_tX-FCOocFPqfu2IQ&si=iHXZBxwi7iz9Vw6D
[2/1/24, 2:12:07 p. m.] Venegas: Esto es una Lista de Reproducción con Teoría de la Probabilidad
Se ve *MUY* prometedor, demuestran y la vara 
Por si gustan verlo
[2/1/24, 2:13:01 p. m.] Venegas: Vuelvo a pasar el Grimmett, para que todo esté junto
‎[2/1/24, 2:14:12 p. m.] Venegas: Introducción a la Proba.pdf • ‎132 páginas ‎documento omitido
‎[2/1/24, 2:14:39 p. m.] Venegas: Probabilidad Básica.pdf • ‎242 páginas ‎documento omitido
[2/1/24, 2:16:01 p. m.] Venegas: Este último es el que yo ya estoy leyendo, voy por la página 368
[2/1/24, 2:16:30 p. m.] Venegas: Muy bueno, por si quieren echarle una ojeada, honestamente, lo recomiendo demasiado, es muy intuitivo y las demostraciones no son tan tan rudas y técnicas
‎[2/1/24, 2:18:31 p. m.] Venegas: Teoría de la Medida y de la Probabilidad.pdf • ‎199 páginas ‎documento omitido
‎[2/1/24, 2:31:40 p. m.] Venegas: Solving Probability.pdf • ‎355 páginas ‎documento omitido
[2/1/24, 2:32:11 p. m.] Venegas: *POR ÚLTIMO*
El solucionario del Grimmet, no sé si es la misma edición, pero los estudiantes avanzados, me pasaron eso, espero nos sea de utilidad
‎[2/1/24, 2:32:13 p. m.] Venegas: ‎sticker omitido
[2/1/24, 2:35:35 p. m.] Venegas: @50663534216 ahora sí, lea malparido
[2/1/24, 2:35:39 p. m.] Venegas: @50663600334
[2/1/24, 4:20:09 p. m.] Venegas: https://m.youtube.com/watch?v=KWJMRSR-cLc
[2/1/24, 4:20:37 p. m.] Venegas: Eso es de Viquez, solo hay esa clase
pero es Introductoria, entonces por si la  quieren ver, ahí les roto
[2/1/24, 8:00:28 p. m.] Javier Hernández: Venegas con 32 virus y 7 troyanos después de piratear todo
[2/1/24, 8:00:34 p. m.] Javier Hernández: 🤣
[3/1/24, 8:16:42 a. m.] Venegas: Una pregunta, alguien fue a consulta?
[3/1/24, 8:16:47 a. m.] Venegas: 🤔🤔🤔🤔
[3/1/24, 8:16:52 a. m.] Venegas: JAJAJAJAJAJA
[3/1/24, 8:16:55 a. m.] Venegas: Al chile que sí!
[3/1/24, 8:18:13 a. m.] Adrian: Mae playo descanse mientras pueda xd. No hemos ni visto materia xd
[3/1/24, 8:18:29 a. m.] Venegas: Por eso pregunto, XDDDDD
[3/1/24, 8:18:39 a. m.] Venegas: Porque me acabo de despertar JAJAJAJAJAJAJA
[3/1/24, 8:20:25 a. m.] Adrian: Dichoso. Uno que es de Aserri y tiene que viajar en carreta desde las 6 AM despierto :(
‎[3/1/24, 8:21:43 a. m.] Venegas: ‎sticker omitido
[3/1/24, 8:24:46 a. m.] Javier Hernández: Ni la profe llegó a las 8
[3/1/24, 8:25:01 a. m.] Venegas: JAJAJAJA sisisisis
[3/1/24, 8:25:38 a. m.] Venegas: Hoy llega a las 11💀
[3/1/24, 8:26:29 a. m.] Adrian: Perdón chicos es que pensé que era domingo 💀
[3/1/24, 9:36:03 a. m.] Corella: Ya llegó
Aviso por si quieren venir a agarrar un buen lugar
[3/1/24, 9:45:52 a. m.] Venegas: Picha
[3/1/24, 9:45:54 a. m.] Venegas: Yo voy tarde
[3/1/24, 9:45:55 a. m.] Venegas: XD
[3/1/24, 9:46:00 a. m.] Venegas: Corella, toma fotos plis
‎[3/1/24, 9:46:02 a. m.] Venegas: ‎sticker omitido
‎[3/1/24, 10:49:29 a. m.] Javier Hernández: ‎imagen omitida
‎[3/1/24, 10:49:54 a. m.] Sebas: ‎sticker omitido
[3/1/24, 10:50:02 a. m.] Venegas: No joda
‎[3/1/24, 10:50:07 a. m.] Venegas: ‎sticker omitido
‎[3/1/24, 11:10:01 a. m.] Venegas: ‎imagen omitida
[3/1/24, 11:10:05 a. m.] Venegas: @50663600334
[3/1/24, 11:10:19 a. m.] Venegas: Eso era lo que usted decía?
[3/1/24, 11:10:33 a. m.] Venegas: Qué fue lo que la profe dijo de ello?
[3/1/24, 11:11:02 a. m.] Gustavo Amador: aja
[3/1/24, 11:54:45 a. m.] Venegas: Quedó mi lonchera
[3/1/24, 11:54:47 a. m.] Venegas: en la clase
‎[3/1/24, 11:54:49 a. m.] Venegas: ‎sticker omitido
‎[3/1/24, 11:54:50 a. m.] Venegas: ‎sticker omitido
‎[3/1/24, 11:54:50 a. m.] Venegas: ‎sticker omitido
‎[3/1/24, 12:08:07 p. m.] Fabian Brenes: ‎imagen omitida
[3/1/24, 2:52:59 p. m.] Venegas: @50663600334
[3/1/24, 2:53:07 p. m.] Venegas: Aquí sale esto
[3/1/24, 2:53:11 p. m.] Venegas: Por si lo quiere leer
[4/1/24, 8:55:10 a. m.] Venegas: https://t.me/+Mv9fNrG-bb84Zjkx
[4/1/24, 8:55:30 a. m.] Venegas: https://t.me/+Mv9fNrG-bb84Zjkx
[4/1/24, 8:55:21 a. m.] ~ Paula 🐨: ‎Ashley Padilla añadió a ~ Paula 🐨.
[4/1/24, 6:33:04 p. m.] Juan Pablo: ‎Juan Pablo se unió usando el enlace de invitación de este grupo
[5/1/24, 7:03:38 p. m.] Sofía Bocker: ‎Cambió tu código de seguridad con Sofía Bocker.
‎[5/1/24, 7:39:02 p. m.] Venegas: Intro A Probabilidad.pdf • ‎126 páginas ‎documento omitido
[5/1/24, 7:39:11 p. m.] Venegas: Les roto los apuntes de Cauchy de Proba
‎[5/1/24, 7:39:15 p. m.] Venegas: ‎sticker omitido
[5/1/24, 7:39:52 p. m.] Venegas: De nada putas
‎[5/1/24, 7:39:56 p. m.] Venegas: ‎sticker omitido
[5/1/24, 7:45:26 p. m.] Venegas: https://t.me/+Mv9fNrG-bb84Zjkx
[5/1/24, 7:45:38 p. m.] Venegas: Les vuelvo a pasar el enlace del grupo de Telegram, que no están todos
[5/1/24, 7:45:46 p. m.] Venegas: Y rotenselos a los que no lo tienen plis
[5/1/24, 7:45:50 p. m.] Venegas: Grax, los tqm
[8/1/24, 8:25:49 a. m.] Corella: Ya está mediación
Lo único es que hay que autoinscribirse buscando entre los cursos que se llamen Probabilidad
La clave es ca0721.III2023 si no me equivoco
[8/1/24, 8:26:04 a. m.] Venegas: 10/10
Gracias Core
‎[8/1/24, 8:26:06 a. m.] Venegas: ‎sticker omitido
[8/1/24, 12:19:18 p. m.] Santiago Actuariales: ‎Santiago Actuariales se unió usando el enlace de invitación de este grupo
[8/1/24, 1:36:49 p. m.] Dixon Montero: Quien era el que tenia el libro?
[8/1/24, 1:36:53 p. m.] Dixon Montero: 👀
‎[8/1/24, 1:43:14 p. m.] Gerard: Libro de proba.pdf • ‎281 páginas ‎documento omitido
[8/1/24, 1:51:29 p. m.] Dixon Montero: Yo creo que la profe esta mamando y tiene la versión 3
[8/1/24, 1:51:39 p. m.] Dixon Montero: Porque la numeración no calza con este
[8/1/24, 1:51:47 p. m.] Dixon Montero: Pero si con el de la 3 version
[8/1/24, 1:52:10 p. m.] Corella: Yo creo que si es ese
[8/1/24, 1:52:17 p. m.] Corella: Porque la profe hoy busco un problema
[8/1/24, 1:52:27 p. m.] Corella: Y si está en el mismo lugar que sale en la versión 2
‎[8/1/24, 1:53:33 p. m.] Corella: ‎imagen omitida
[8/1/24, 2:05:05 p. m.] Venegas: Entonces?
[8/1/24, 2:28:27 p. m.] Dixon Montero: ‎Se eliminó este mensaje.
[8/1/24, 2:28:31 p. m.] Dixon Montero: ‎Se eliminó este mensaje.
[8/1/24, 2:28:45 p. m.] Dixon Montero: ‎Se eliminó este mensaje.
[8/1/24, 2:29:59 p. m.] Dixon Montero: Suave yo soy el que está mamando
[8/1/24, 2:30:09 p. m.] Dixon Montero: 🤣🤣🤣
[8/1/24, 2:30:16 p. m.] Dixon Montero: Cosas de no saber inglés
[8/1/24, 2:30:59 p. m.] Dixon Montero: De la 31 a la 33 están los problemas
[8/1/24, 2:31:07 p. m.] Dixon Montero: Según yo eran los que decían ejercicios
[8/1/24, 2:31:09 p. m.] Dixon Montero: 🫠
[8/1/24, 2:33:25 p. m.] Venegas: Mae para mamapichas llamenlo
[8/1/24, 2:33:32 p. m.] Venegas: Mejor vaya y se la chupa a sebas un rato
[8/1/24, 2:33:52 p. m.] Dixon Montero: Porque no viene y me la chupa usted
[8/1/24, 7:56:56 p. m.] ~ Alonso 💥: ‎~ Alonso 💥 se unió usando el enlace de invitación de este grupo
[9/1/24, 8:56:05 a. m.] Javier Hernández: .
[9/1/24, 8:56:12 a. m.] Javier Hernández: https://t.me/+Mv9fNrG-bb84Zjkx
‎[9/1/24, 10:55:41 a. m.] Corella: ‎imagen omitida
[10/1/24, 8:15:56 a. m.] Venegas: La profe ya llegó?
‎[10/1/24, 10:08:58 a. m.] Javier Hernández: ‎imagen omitida
[11/1/24, 8:33:24 a. m.] Venegas: Kembly dará Contingencias de Vida
Maykol Solis Estadística 
No me acuerdo el nombre, pero Estocásticos lo dará el mismo mae del año pasado 
y Herramientas ll, aún no se sabe
[11/1/24, 8:33:28 a. m.] Venegas: Javier es tentativa
[11/1/24, 8:33:42 a. m.] Venegas: Yo no dije nada jajajaja, info clasificada
‎[11/1/24, 9:03:52 a. m.] ~ Paula 🐨: ‎sticker omitido
[11/1/24, 2:14:18 p. m.] Venegas: @50663600334
[11/1/24, 2:14:36 p. m.] Venegas: Maes, Santiago está en el grupo?
[11/1/24, 2:14:52 p. m.] Venegas: La profe dijo que la 9 se podía hacer a palabras
[11/1/24, 2:14:53 p. m.] Venegas: ?
[11/1/24, 2:15:05 p. m.] Venegas: En plan, tiene que ser formal o hay que explicarla?
[11/1/24, 2:18:38 p. m.] Santiago Actuariales: Hola 😂
[11/1/24, 2:19:33 p. m.] Santiago Actuariales: Sí, explique por qué está esa fórmula, todos los elementos digamos
Y sí con palabras, según yo no hay otra forma de hacerlo con lo del capítulo 1
[11/1/24, 2:27:24 p. m.] Venegas: Gracias bro
[11/1/24, 2:27:46 p. m.] Venegas: Oka oka, voy a ponerlo en el grupo de telegram
[11/1/24, 2:27:52 p. m.] Venegas: porque la zorra de @50686093714
[11/1/24, 2:27:53 p. m.] Venegas: No cree
[11/1/24, 2:42:44 p. m.] Venegas: @50663600334 
A usted la profe le dijo algo de la 9?
[11/1/24, 2:44:30 p. m.] Lau Villacís: ‎Se eliminó este mensaje.
[11/1/24, 2:45:28 p. m.] Venegas: Malparido @50685161588
[11/1/24, 3:27:47 p. m.] Dixon Montero: Ocupan ayuda con la 9?
[11/1/24, 3:28:13 p. m.] Dixon Montero: Así de paso me ayudan con la 14 jeje
[12/1/24, 11:19:02 a. m.] Venegas: feliz cumple @50684441770
[12/1/24, 11:19:05 a. m.] Venegas: ky ky
‎[12/1/24, 11:19:07 a. m.] Venegas: ‎sticker omitido
‎[12/1/24, 11:19:10 a. m.] Venegas: ‎sticker omitido
[12/1/24, 11:19:12 a. m.] Venegas: jajajajajaja
[12/1/24, 11:19:15 a. m.] Venegas: pásela bonito
[12/1/24, 1:18:43 p. m.] Corella: Si subió alguillo el corte de Actuariales jajaja
[12/1/24, 1:19:12 p. m.] Ashley Padilla: Un poquitillo nada más 😂 ‎<Se editó este mensaje.>
[12/1/24, 1:19:25 p. m.] Sebas: En cuánto quedó?
[12/1/24, 1:19:30 p. m.] Ashley Padilla: 658
[12/1/24, 1:19:33 p. m.] Sebas: Uy
[12/1/24, 1:19:41 p. m.] Sebas: Pero es que el PHC estaba muy bajo
‎[12/1/24, 1:19:51 p. m.] Felix: ‎sticker omitido
[12/1/24, 1:25:29 p. m.] Adrian: No estaba en 60?
‎[12/1/24, 1:49:57 p. m.] Javier Hernández: ‎imagen omitida
[12/1/24, 1:50:16 p. m.] Javier Hernández: Se empieza a ver la fama que le hicieron
[12/1/24, 1:50:23 p. m.] Juan Pablo M.: en que momento
[12/1/24, 1:51:59 p. m.] Javier Hernández: 70 creo
[12/1/24, 1:53:28 p. m.] Adrian: Creo que fue 100% por el cambio de plan y porque el año pasado salió como la carrera mejor pagada
[12/1/24, 1:53:51 p. m.] Javier Hernández: Exacto, pienso lo mismo
[12/1/24, 1:54:06 p. m.] Javier Hernández: Ya no da ese miedo de llevar mates puras
[12/1/24, 1:54:45 p. m.] Juan Pablo M.: pero siguen siendo casi los mismos profes al final
[12/1/24, 1:55:29 p. m.] Adrian: Que pereza zzz. Me gustaba que actuariales fuera baja, la hacía de nicho
[12/1/24, 1:55:46 p. m.] Juan Pablo M.: kqjajajs, que fuera baja le daba el toque
[12/1/24, 1:55:59 p. m.] Juan Pablo M.: era parte de la carrera que el corte siempre fuera 500
[12/1/24, 1:56:05 p. m.] Adrian: Estoy de acuerdo
[12/1/24, 1:56:36 p. m.] Javier Hernández: Aunque aveces pasa que de los 40 cupos solo concursaron 10 personas y entonces todas entran, por lo que el corte es la nota de la persona 10
[12/1/24, 1:59:27 p. m.] Adrian: Ahorita sale una u privada con nueva carrera actuariales XD
[12/1/24, 2:19:07 p. m.] Venegas: Eso sí
[12/1/24, 2:19:20 p. m.] Venegas: Me cago en CRHOY
[12/1/24, 2:19:47 p. m.] Venegas: Confirmo, pero se los van a culear a la mayoría en 151
‎[12/1/24, 2:19:49 p. m.] Venegas: ‎sticker omitido
[12/1/24, 2:19:51 p. m.] Venegas: Viva Dios
[12/1/24, 2:20:04 p. m.] Venegas: Eso sí
[12/1/24, 2:20:11 p. m.] Venegas: De hecho, eso pasa en Mate
[12/1/24, 2:20:14 p. m.] Venegas: 😂😂😂😍😍😂
[12/1/24, 2:20:22 p. m.] Venegas: No, cuesta mucho
[12/1/24, 2:20:39 p. m.] Venegas: Primero tienen que contratar actuarios, y qué actuario va a querer ser profe?
[12/1/24, 2:20:49 p. m.] Venegas: Por lo menos en los próximos 10-15 años
[12/1/24, 2:20:57 p. m.] Venegas: Ninguna privada va a tener Actuariales
[12/1/24, 2:21:09 p. m.] Venegas: Depende de qué profes se quieran prostituir
[12/1/24, 2:21:18 p. m.] Venegas: Y la mayoría de actuariales quieren plata
[12/1/24, 2:21:20 p. m.] Venegas: no enseñar
[12/1/24, 2:21:36 p. m.] Venegas: eso si quedan en CR, porque habrá muchos que se van del país
[12/1/24, 2:28:30 p. m.] Adrian: voy ahi cuando me gradue, yo voy a fundar actuariales en la latina. Con mate de colegio y progra de ingeniero ‎<Se editó este mensaje.>
‎[12/1/24, 2:31:47 p. m.] Adrian: ‎imagen omitida
[12/1/24, 2:33:01 p. m.] Venegas: jajajaja
[12/1/24, 2:33:02 p. m.] Venegas: sí
[12/1/24, 2:33:04 p. m.] Venegas: Tiene el.doc
[12/1/24, 2:33:06 p. m.] Venegas: me lo pasan
[12/1/24, 2:33:09 p. m.] Venegas: Porfas
‎[12/1/24, 2:33:18 p. m.] Adrian: Cortes-Primer-Ingreso-2024.pdf • ‎12 páginas ‎documento omitido
‎[12/1/24, 5:20:49 p. m.] Corella: ‎imagen omitida
‎[12/1/24, 5:21:04 p. m.] Andrés Montero: ‎sticker omitido
[12/1/24, 5:21:06 p. m.] Ashley Padilla: NOOOO JAJAJJA
‎[12/1/24, 5:22:04 p. m.] Juan Pablo M.: ‎sticker omitido
[12/1/24, 6:20:23 p. m.] Venegas: XDDDD
[14/1/24, 6:33:13 p. m.] Dixon Montero: ‎Se eliminó este mensaje.
[14/1/24, 6:33:30 p. m.] Corella: Jajajaja
[14/1/24, 6:33:33 p. m.] Ashley Padilla: Que fue esa foto Dixon 😳😳
[14/1/24, 6:34:14 p. m.] Dixon Montero: 🤫
[14/1/24, 6:34:18 p. m.] Dixon Montero: Sea sapa jajaja
[14/1/24, 7:46:04 p. m.] Venegas: Si le gustó pídala por privada sapa
‎[14/1/24, 7:46:25 p. m.] Venegas: ‎sticker omitido
‎[16/1/24, 10:31:51 a. m.] Javier Hernández: ‎sticker omitido
[16/1/24, 10:31:54 a. m.] Javier Hernández: @50684743854
[16/1/24, 10:53:42 a. m.] Venegas: XD
‎[16/1/24, 3:05:33 p. m.] Dixon Montero: ‎imagen omitida
[16/1/24, 3:05:47 p. m.] Venegas: Uuuy que hombre más yico
[16/1/24, 3:06:01 p. m.] Ashley Padilla: Animo ánimo ánimo!!!
[16/1/24, 3:06:02 p. m.] Venegas: Cuando le crezcan más los bracitos, me los pone de collar
‎[16/1/24, 3:06:05 p. m.] Venegas: ‎sticker omitido
[16/1/24, 3:06:07 p. m.] Venegas: sapa
[16/1/24, 3:06:32 p. m.] Javier Hernández: Uy suave 😍
‎[16/1/24, 3:06:55 p. m.] Javier Hernández: ‎sticker omitido
[16/1/24, 3:07:03 p. m.] Javier Hernández: Suave qué?
[16/1/24, 3:07:04 p. m.] Javier Hernández: Jajaja
[16/1/24, 3:07:10 p. m.] Venegas: Durooooo ‎<Se editó este mensaje.>
[16/1/24, 3:08:29 p. m.] Javier Hernández: @50687068012 pero mande bien el pack
[16/1/24, 3:11:55 p. m.] Venegas: Una sin camisa porfas
‎[16/1/24, 3:12:01 p. m.] Venegas: ‎sticker omitido
[18/1/24, 6:21:56 p. m.] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
[21/1/24, 8:48:42 p. m.] Adrian: maes la consulta mañana comenzaba a las 9 o a las 8?
[21/1/24, 8:54:29 p. m.] Anthony: 8
[21/1/24, 8:54:53 p. m.] Javier Hernández: Pero es mejor escribirle a la profe
[21/1/24, 8:54:56 p. m.] Javier Hernández: Para confirmar
‎[23/1/24, 1:12:12 a. m.] Adrian: ‎imagen omitida
‎[23/1/24, 1:12:13 a. m.] Adrian: ‎imagen omitida
‎[23/1/24, 1:12:13 a. m.] Adrian: ‎imagen omitida
[23/1/24, 8:54:38 a. m.] Javier Hernández: Se ganó un beso Adrián
‎[23/1/24, 8:55:19 a. m.] Gerard: ‎imagen omitida
[23/1/24, 3:00:11 p. m.] Venegas: maes
[23/1/24, 3:00:19 p. m.] Venegas: verdad que es Raúl el que hace el examen
[23/1/24, 3:00:53 p. m.] Adrian: Este creo que lo hace Jennifer. Lo que alguien me había dicho es que talvez Raúl lo revise
[23/1/24, 3:39:29 p. m.] Venegas: Si hablé mierda en Telegram, *CLARAMENTE ESTOY CAGADO*
‎[23/1/24, 3:39:31 p. m.] Venegas: ‎sticker omitido
[23/1/24, 3:39:43 p. m.] Venegas: *IJOSUPUTAMADRE LLAMEN A DIOS*
‎[23/1/24, 3:39:44 p. m.] Venegas: ‎sticker omitido
‎[23/1/24, 4:00:26 p. m.] ~ Paula 🐨: ‎sticker omitido
[24/1/24, 3:15:13 p. m.] Anthony: https://www.instagram.com/p/C2dSVEnRl40/?hl=en
[24/1/24, 3:16:19 p. m.] Anthony: En ese post esta el link para concurso de asistencia
[24/1/24, 3:21:53 p. m.] ~ Alonso 💥: Anthony sabe que  significa HA y HE?
[24/1/24, 3:22:08 p. m.] Corella: Horas asistente y horas estudiante
[24/1/24, 3:22:11 p. m.] Javier Hernández: Horas estudiante y horas asistencia
‎[24/1/24, 3:22:22 p. m.] Javier Hernández: ‎sticker omitido
[24/1/24, 3:22:44 p. m.] ~ Alonso 💥: Pura vida
[24/1/24, 11:20:47 p. m.] ~ Paula 🐨: @50684958272 puede enviar su examen para que la profe lo resuelva mañana?
‎[24/1/24, 11:20:49 p. m.] ~ Paula 🐨: ‎sticker omitido
[24/1/24, 11:21:28 p. m.] ~ Alonso 💥: Es que el examen que tengo creo que es de la 2 parte no de la primera 🥲
‎[24/1/24, 11:21:30 p. m.] ~ Alonso 💥: ‎sticker omitido
[24/1/24, 11:21:40 p. m.] ~ Alonso 💥: El de la primera no lo encuentro
‎[24/1/24, 11:21:52 p. m.] ~ Alonso 💥: ‎imagen omitida
‎[24/1/24, 11:22:44 p. m.] Venegas: ‎sticker omitido
[24/1/24, 11:25:33 p. m.] ~ Paula 🐨: Gracias
‎[24/1/24, 11:25:45 p. m.] ~ Alonso 💥: ‎sticker omitido
‎[24/1/24, 11:26:49 p. m.] Javier Hernández: ‎sticker omitido
[25/1/24, 7:47:56 a. m.] Corella: Buenos días gente, una preguntilla. Eso de que nos pasaron a la 404 fue solo por ayer o es también para el resto de clases?
[25/1/24, 7:54:20 a. m.] Anthony: Solo ayer
‎[25/1/24, 7:54:44 a. m.] Corella: ‎sticker omitido
[25/1/24, 7:54:47 a. m.] Corella: Gracias!
[25/1/24, 3:03:43 p. m.] Venegas: Qué avisada más brava👌🏻💔
‎[25/1/24, 3:54:23 p. m.] ~ Paula 🐨: ‎sticker omitido
[29/1/24, 6:06:11 p. m.] Anthony: Gente, ya esta abierta la prematricula del TCU, desde hoy hasta el miercoles
[29/1/24, 6:06:20 p. m.] Anthony: https://tcu.ucr.ac.cr/https://tcu.ucr.ac.cr/
[29/1/24, 6:09:07 p. m.] Anthony: Ese link no sirve salu2
[29/1/24, 6:09:10 p. m.] Anthony: https://accionsocial.ucr.ac.cr/modalidades/trabajo-comunidad/matricula-tcu
[29/1/24, 7:20:38 p. m.] Ashley Padilla: ‎Cambió tu código de seguridad con Ashley Padilla.
[30/1/24, 10:25:39 a. m.] ~ Alonso 💥: Alguien ya le preguntó al profe lo de mover el 5%?
[30/1/24, 10:26:08 a. m.] Ashley Padilla: Hágase grande y pregunte
‎[30/1/24, 10:26:23 a. m.] ~ Alonso 💥: ‎sticker omitido
[30/1/24, 10:26:50 a. m.] ~ Alonso 💥: @50684743854 hágase grande usted es la  voz del grupo
